game_id,roster,game_type
2023020763,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;ANTTI RAANTA;PYOTR KOCHETKOV",home
2023020785,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;ANTTI RAANTA;PYOTR KOCHETKOV",home
2023020799,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;TONY DEANGELO;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;ANTTI RAANTA;PYOTR KOCHETKOV",home
2023020810,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;STEFAN NOESEN;SETH JARVIS;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;TONY DEANGELO;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;SPENCER MARTIN;PYOTR KOCHETKOV",home
2023020874,"DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;TONY DEANGELO;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;SPENCER MARTIN;PYOTR KOCHETKOV",home
2023020889,"DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;TONY DEANGELO;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;SPENCER MARTIN;PYOTR KOCHETKOV",home
2023020907,"DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;TONY DEANGELO;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;SPENCER MARTIN;PYOTR KOCHETKOV",home
2023020956,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;SPENCER MARTIN;PYOTR KOCHETKOV",home
2023020994,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;ANDREI SVECHNIKOV;JORDAN MARTINOOK;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;FREDERIK ANDERSEN;PYOTR KOCHETKOV",home
2023021024,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;ANDREI SVECHNIKOV;JORDAN MARTINOOK;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;EVGENY KUZNETSOV;FREDERIK ANDERSEN;SPENCER MARTIN",home
