game_id,roster,game_type
2023020745,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;MIKEY ANDERSON;QUINTON BYFIELD;TREVOR LEWIS;SAMUEL FAGEMO;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;CARL GRUNDSTROM;BRANDT CLARKE;DAVID RITTICH;CAM TALBOT",home
2023020816,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;ALEX TURCOTTE;MIKEY ANDERSON;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;CARL GRUNDSTROM;DAVID RITTICH;CAM TALBOT",home
2023020883,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;KEVIN FIALA;PHILLIP DANAULT;VIKTOR ARVIDSSON;ARTHUR KALIYEV;ALEX TURCOTTE;MIKEY ANDERSON;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;BRANDT CLARKE;DAVID RITTICH;CAM TALBOT",home
2023020899,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;KEVIN FIALA;PHILLIP DANAULT;ARTHUR KALIYEV;ALEX TURCOTTE;MIKEY ANDERSON;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;BRANDT CLARKE;DAVID RITTICH;CAM TALBOT",home
2023020915,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;ARTHUR KALIYEV;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;BRANDT CLARKE;DAVID RITTICH;CAM TALBOT",home
2023020970,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;ALEX TURCOTTE;JACOB MOVERARE;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;BRANDT CLARKE;DAVID RITTICH;CAM TALBOT",home
2023020988,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;ALEX TURCOTTE;JACOB MOVERARE;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;BRANDT CLARKE;DAVID RITTICH;CAM TALBOT",home
2023021003,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;ARTHUR KALIYEV;ALEX TURCOTTE;JACOB MOVERARE;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;BRANDT CLARKE;DAVID RITTICH;CAM TALBOT",home
2023021021,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;ARTHUR KALIYEV;ALEX TURCOTTE;JACOB MOVERARE;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;DAVID RITTICH;CAM TALBOT",home
2023021030,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;ALEX TURCOTTE;JACOB MOVERARE;MIKEY ANDERSON;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;DAVID RITTICH;CAM TALBOT",home
